kepid,kepoi_name,koi_disposition,koi_period,koi_depth
8247638,K00907.02,CONFIRMED,30.1329298,1015.8
8247638,K00907.03,CONFIRMED,4.79090809,251.3
11086270,K00124.02,CONFIRMED,31.71981013,363.4
8247638,K00907.04,CONFIRMED,99.6415962,952.5
8255887,K00908.01,CONFIRMED,4.708326451,7912.7
8414716,K00910.01,CONFIRMED,5.392026903,1151.4
9141746,K00929.01,CONFIRMED,6.491682808,7163.3
9166862,K00931.01,CONFIRMED,3.855603916,16652.7
11449844,K00125.01,CONFIRMED,38.47876629,23530.0
8628973,K00916.01,CONFIRMED,3.314947362,1398.2
8672910,K00918.01,CONFIRMED,39.6431552,15663.8
8689031,K00920.01,CONFIRMED,21.80451611,1144.9
8689373,K00921.01,CONFIRMED,10.28194593,1110.7
8689373,K00921.02,CONFIRMED,18.11993039,1506.9
8689373,K00921.03,CONFIRMED,3.78402867,426.1
8826878,K00922.01,CONFIRMED,5.15448142,697.5
8883593,K00923.01,CONFIRMED,5.743469797,1240.2
9077124,K00926.01,CONFIRMED,3.166353562,1473.4
9466668,K00939.01,CONFIRMED,3.388012244,280.1
9466668,K00939.02,CONFIRMED,5.83909761,273.6
9466668,K00939.03,CONFIRMED,1.620467654,159.6
9466668,K00939.04,CONFIRMED,10.6816951,307.8
9479273,K00940.01,CONFIRMED,6.104849417,2090.3
8359498,K00127.01,CONFIRMED,3.578780566,11382.2
9334289,K00934.01,CONFIRMED,5.826657508,1539.1
9334289,K00934.02,CONFIRMED,12.41216347,611.3
9334289,K00934.03,CONFIRMED,18.74649011,796.8
9347899,K00935.01,CONFIRMED,20.86021229,1910.5
9347899,K00935.02,CONFIRMED,42.63427848,1719.3
9347899,K00935.03,CONFIRMED,87.6476068,1009.6
9388479,K00936.01,CONFIRMED,9.467821474,2237.0
9388479,K00936.02,CONFIRMED,0.893040969,741.7
11359879,K00128.01,CONFIRMED,4.942783419,11144.7
9406990,K00937.01,CONFIRMED,20.83426731,988.4
9415172,K00938.01,CONFIRMED,9.94602357,994.5
9415172,K00938.02,CONFIRMED,1.04562195,213.0
9415172,K00938.03,CONFIRMED,5.71462396,297.8
3231341,K01102.02,CONFIRMED,8.14515981,446.8
3231341,K01102.03,CONFIRMED,18.9985279,430.7
3231341,K01102.04,CONFIRMED,4.24439049,174.0
7626506,K00150.02,CONFIRMED,28.5742692,824.9
10482160,K01170.01,CONFIRMED,7.34373964,574.4
8559644,K00139.01,CONFIRMED,224.7789355,3487.5
3240158,K01106.01,CONFIRMED,7.42608123,443.3
3240158,K01106.02,CONFIRMED,15.9868932,178.5
3218908,K01108.01,CONFIRMED,18.92537246,640.9
10350571,K01175.01,CONFIRMED,31.5925809,145.1
10350571,K01175.02,CONFIRMED,17.157236,110.4
3749365,K01176.01,CONFIRMED,1.97376085,30222.4
3632418,K00975.01,CONFIRMED,2.785821236,68.9
5809890,K01050.01,CONFIRMED,1.269091415,340.9
5809890,K01050.02,CONFIRMED,2.853133997,277.1
6131236,K01051.01,CONFIRMED,6.79685353,393.1
3218908,K01108.02,CONFIRMED,1.475323222,154.9
3218908,K01108.03,CONFIRMED,4.15246118,223.4
2837111,K01110.01,CONFIRMED,8.7348852,270.7
9032900,K00134.01,CONFIRMED,67.5923754,4158.1
5956342,K01052.01,CONFIRMED,17.02902786,568.9
5956342,K01052.02,CONFIRMED,6.84619236,246.8
5956342,K01052.03,CONFIRMED,67.8321638,507.8
5956342,K01052.04,CONFIRMED,43.1312147,447.8
5956656,K01053.01,CONFIRMED,1.224866441,196.0
3109930,K01112.01,CONFIRMED,37.8102649,570.3
2854914,K01113.01,CONFIRMED,25.93406406,414.5
2854914,K01113.02,CONFIRMED,83.4463485,503.0
3116412,K01115.01,CONFIRMED,12.99204853,270.6
8394721,K00152.01,CONFIRMED,52.09081627,2894.1
1161345,K00984.01,CONFIRMED,4.28746668,790.1
2854698,K00986.01,CONFIRMED,8.18739443,517.6
2854698,K00986.02,CONFIRMED,76.0498163,445.9
8559644,K00139.02,CONFIRMED,3.341799486,178.2
2849805,K01116.01,CONFIRMED,3.749105745,182.6
3114811,K01117.01,CONFIRMED,11.08956602,148.1
3554031,K01194.01,CONFIRMED,8.70798309,1419.6
3554031,K01194.03,CONFIRMED,4.17634276,531.5
8394721,K00152.02,CONFIRMED,27.40229859,747.5
7295235,K00987.01,CONFIRMED,3.179267286,200.9
2302548,K00988.01,CONFIRMED,10.38122447,801.5
2302548,K00988.02,CONFIRMED,24.5709023,764.2
9818381,K00135.01,CONFIRMED,3.024092505,7765.0
6060203,K01059.01,CONFIRMED,1.022678654,129.2
5880320,K01060.01,CONFIRMED,12.10968709,284.7
5880320,K01060.02,CONFIRMED,4.75796103,124.5
5880320,K01060.03,CONFIRMED,20.4972755,242.9
3859079,K01199.01,CONFIRMED,53.5292702,1086.1
4061149,K01201.01,CONFIRMED,2.757584622,563.1
3444588,K01202.01,CONFIRMED,0.928310036,376.2
8394721,K00152.03,CONFIRMED,13.48457668,653.5
3962243,K01203.01,CONFIRMED,31.8841473,910.0
10154388,K00991.01,CONFIRMED,12.06222962,300.2
1432789,K00992.01,CONFIRMED,9.93146307,398.6
1718189,K00993.01,CONFIRMED,21.85362905,355.6
5880320,K01060.04,CONFIRMED,8.19345065,115.4
6037187,K01061.01,CONFIRMED,41.8059544,434.4
5735762,K00148.01,CONFIRMED,4.77800306,473.0
6359320,K01127.01,CONFIRMED,5.32667299,611.4
3859628,K01191.01,CONFIRMED,8.17242644,864.3
1718189,K00993.02,CONFIRMED,13.0607936,236.6
8222813,K01069.01,CONFIRMED,8.70420525,1074.9
6359320,K01127.02,CONFIRMED,8.1280933,224.1
6362874,K01128.01,CONFIRMED,0.974868896,197.6
6272413,K01129.01,CONFIRMED,4.89721006,274.4
3447722,K01198.01,CONFIRMED,16.08832318,597.8
3447722,K01198.02,CONFIRMED,10.30067919,271.8
3447722,K01198.03,CONFIRMED,35.6757453,471.2
2165002,K00999.01,CONFIRMED,16.56806842,1331.4
2165002,K00999.02,CONFIRMED,47.3329299,931.5
1871056,K01001.01,CONFIRMED,40.8065333,313.9
8222813,K01069.02,CONFIRMED,2.46697039,308.7
8240904,K01070.01,CONFIRMED,6.61836309,549.1
8240904,K01070.02,CONFIRMED,107.7214092,1396.2
5735762,K00148.02,CONFIRMED,9.673958488,952.7
3962243,K01203.02,CONFIRMED,14.12847677,628.7
3962243,K01203.03,CONFIRMED,48.6478543,641.8
3438507,K01204.01,CONFIRMED,8.39842977,340.1
3869014,K01205.01,CONFIRMED,8.63847391,395.9
1871056,K01001.02,CONFIRMED,140.10765,266.8
1865042,K01002.01,CONFIRMED,3.4815917,135.2
5780460,K01005.01,CONFIRMED,35.61760233,4634.9
8229696,K01072.01,CONFIRMED,10.12805158,477.4
10272640,K01074.01,CONFIRMED,3.770551475,12440.0
8346392,K01141.01,CONFIRMED,5.72812616,643.4
8288947,K01142.01,CONFIRMED,3.75574267,417.4
9480189,K00941.01,CONFIRMED,6.581477136,2318.9
11974540,K00129.01,CONFIRMED,24.669192732,7382.3
9480189,K00941.02,CONFIRMED,2.382652873,705.4
9480189,K00941.03,CONFIRMED,24.66461416,2398.8
9512687,K00942.01,CONFIRMED,11.51517167,1357.4
